Name,n-events,ParentDataset,Source,Parameters
2e2mu_2011.csv,13,,http://opendata.cern.ch/record/5200/files/2e2mu_2011.csv,Run Event PID1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 PID2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 PID3 E3 px3 py3 pz3 pt3 eta3 phi3 Q3 PID4 E4 px4 py4 pz4 pt4 eta4 phi4 Q4 mZ1 mZ2 M
2e2mu_2012.csv,104,,http://opendata.cern.ch/record/5200/files/2e2mu_2012.csv,Run Event PID1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 PID2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 PID3 E3 px3 py3 pz3 pt3 eta3 phi3 Q3 PID4 E4 px4 py4 pz4 pt4 eta4 phi4 Q4 mZ1 mZ2 M
4e_2011.csv,7,,http://opendata.cern.ch/record/5200/files/4e_2011.csv,Run Event PID1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 PID2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 PID3 E3 px3 py3 pz3 pt3 eta3 phi3 Q3 PID4 E4 px4 py4 pz4 pt4 eta4 phi4 Q4 mZ1 mZ2 M
4e_2012.csv,41,,http://opendata.cern.ch/record/5200/files/4e_2012.csv,Run Event PID1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 PID2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 PID3 E3 px3 py3 pz3 pt3 eta3 phi3 Q3 PID4 E4 px4 py4 pz4 pt4 eta4 phi4 Q4 mZ1 mZ2 M
4lepton.csv,3,,http://opendata.cern.ch/record/300/files/4lepton.csv,Event Run E1 px1 py1 pz1 pt1 eta1 phi1 Q1 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 E3 px3 py3 pz3 pt3 eta3 phi3 Q3 E4 px4 py4 pz4 pt4 eta4 phi4 Q4 M
4mu_2011.csv,18,,http://opendata.cern.ch/record/5200/files/4mu_2011.csv,Run Event PID1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 PID2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 PID3 E3 px3 py3 pz3 pt3 eta3 phi3 Q3 PID4 E4 px4 py4 pz4 pt4 eta4 phi4 Q4 mZ1 mZ2 M
4mu_2012.csv,95,,http://opendata.cern.ch/record/5200/files/4mu_2012.csv,Run Event PID1 E1 px1 py1 pz1 pt1 eta1 phi1 Q1 PID2 E2 px2 py2 pz2 pt2 eta2 phi2 Q2 PID3 E3 px3 py3 pz3 pt3 eta3 phi3 Q3 PID4 E4 px4 py4 pz4 pt4 eta4 phi4 Q4 mZ1 mZ2 M
barometri_fausille.csv,62799,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/barometri_fausille.csv,Time (s) Pressure (hPa)
CERN_memberstates.csv,36,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/CERN_memberstates.csv,Country Joined (year) Exceptions Status
CERN_staff_age_over_a_decade.csv,10,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/CERN_staff_age_over_a_decade.csv,Age range 2007 2012 2017
CERN_staff_by_dept_2017.csv,17,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/CERN_staff_by_dept_2017.csv,Category Staff members (MPE) Fellows (MPE) Exchange Scientists (MPA) International collaboration (MPA) Training (MPA) Grand Total
CERN_staff_by_profession.csv,8,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/CERN_staff_by_profession.csv,"Category Staff, Female Staff, Male Fellows, Female Fellows, Male MPAs (excluding Users), Female MPAs (excluding Users), Male"
CERN_staff_by_years.csv,5,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/CERN_staff_by_years.csv,End of year Staff members (MPE) Fellows (MPE) MPA excluding Users Users Grand total
CERN_student_recruitment.csv,31,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/CERN_student_recruitment.csv,"Nationality Doct. Application, Female Doct. Application, Male Total Doct. Selected, Female Doct. Selected, Male Total.1 Summer Application, Female Summer Application, Male Total.2 Summer Selected, Female Summer Selected, Male Total.3"
CERN_users_experiment_profession_nationality.csv,31,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/CERN_users_experiment_profession_nationality.csv,Nationality ATLAS CMS ALICE LHCB LHC SPS PS RE R&D ISOLDE Other Total Research physicists Scientific & Engineering work Technical work Manual work Professional administrative work Total.1
CERN_users_gender.csv,3,,https://raw.githubusercontent.com/cms-opendata-education/cms-jupyter-materials-finnish/master/Data/CERN_users_gender.csv,Gender Research physicists Scientific & Engineering work Technical work Manual work Professional administrative work Total
